Taxpayer_ID,Business_Type,Region,Years_in_Business,Employee_Count,Annual_Revenue,Annual_Expenses,Net_Profit,Taxable_Income,Expected_Tax,Declared_Tax,VAT_Collected,VAT_Paid,Previous_Audits,Previous_Violations,Late_Payments,Industry_Risk,Cash_Transactions_Percentage,Missing_Documents,Invoice_Mismatch,Expense_Ratio,Profit_Margin,Revenue_per_Employee,Tax_Gap,Fraud
100036,Import/Export,Alex,0,11,638564.75,334083.24,304481.51,285355.73,64205.04,63011.25,89399.07,46771.65,0,0,0,High,58.18,1,0,0.523,0.477,58051.34,1193.79,0
100037,Import/Export,Alex,11,13,3298894.71,2088021.27,1210873.45,1104045.51,248410.24,240723.68,461845.26,292322.98,2,0,0,High,51.84,1,0,0.633,0.367,253761.13,7686.57,0
100038,Healthcare,Dakahlia,8,7,888428.34,398512.95,489915.39,476288.98,107165.02,105492.34,124379.97,55791.81,1,0,1,Low,21.2,0,0,0.449,0.551,126918.33,1672.68,0
100039,Manufacturing,Sohag,16,8,2139694.21,1446715.12,692979.09,683257.16,153732.86,152178.53,299557.19,202540.12,0,0,2,Medium,19.48,2,0,0.676,0.324,267461.78,1554.33,0
100040,IT,Monufia,3,10,860819.21,695090.18,165729.04,162665.51,36599.74,34927.3,120514.69,97312.62,0,0,1,Low,63.92,0,0,0.807,0.193,86081.92,1672.44,0
100041,Manufacturing,Dakahlia,12,12,4473837.36,2241747.9,2232089.46,2013019.7,452929.43,391896.14,626337.23,313844.71,1,0,1,Medium,4.25,2,1,0.501,0.499,372819.78,61033.29,1
100042,Import/Export,Dakahlia,9,11,541539.83,386675.16,154864.67,141487.4,31834.66,28708.52,75815.58,54134.52,2,0,3,High,40.34,0,0,0.714,0.286,49230.89,3126.15,1
100043,Retail,Dakahlia,5,16,236921.43,213682.6,23238.82,20960.3,4716.07,4118.66,33169.0,29915.56,0,0,0,Medium,71.69,0,1,0.902,0.098,14807.59,597.41,1
100044,Unknown,Unknown,7,30,2646094.99,946922.75,1699172.23,1613416.04,363018.61,354320.2,370453.3,132569.19,1,1,0,Low,38.52,0,0,0.358,0.642,88203.17,8698.41,0
100045,Education,Dakahlia,4,10,1006023.46,668637.56,337385.9,309084.09,69543.92,68524.99,140843.28,93609.26,0,2,1,Low,79.23,0,0,0.665,0.335,100602.35,1018.93,0
100046,Education,Dakahlia,12,21,1993037.56,721133.45,1271904.11,1100980.91,247720.71,246249.44,279025.26,100958.68,0,0,3,Low,14.24,1,0,0.362,0.638,94906.55,1471.27,0
100047,Manufacturing,Giza,0,28,504311.36,291398.89,212912.47,199827.77,44961.25,41508.46,70603.59,40795.85,0,0,2,Medium,43.26,1,0,0.578,0.422,18011.12,3452.79,0
100048,Healthcare,Sharqia,6,22,5436617.69,2744038.24,2692579.45,2344976.62,527619.74,516849.54,761126.48,384165.35,0,0,1,Low,49.97,0,0,0.505,0.495,247118.99,10770.2,0
100049,Restaurant,Cairo,18,15,865962.25,308799.97,557162.28,485028.06,109131.31,107457.3,121234.72,43232.0,0,0,2,Medium,44.03,0,0,0.357,0.643,57730.82,1674.01,0
100050,Restaurant,Dakahlia,10,6,1370569.27,681460.01,689109.25,625982.95,140846.16,139812.65,191879.7,95404.4,1,0,2,Medium,13.62,0,0,0.497,0.503,228428.21,1033.51,0
100051,Pharmacy,Sharqia,5,10,7217788.61,3973727.06,3244061.55,3132585.31,704831.69,695519.59,1010490.4,556321.79,0,0,0,Low,34.22,2,0,0.551,0.449,721778.86,9312.11,0
100052,Restaurant,Monufia,0,19,477565.44,322423.8,155141.64,152184.93,34241.61,32739.96,66859.16,45139.33,1,1,2,Medium,27.39,2,0,0.675,0.325,25135.02,1501.65,0
100053,Restaurant,Cairo,2,18,1169762.61,1014448.07,155314.54,151692.98,34130.92,32998.63,163766.77,142022.73,1,0,1,Medium,73.7,0,0,0.867,0.133,64986.81,1132.29,0
100054,Retail,Giza,4,18,2207641.96,1588437.93,619204.02,547960.84,123291.19,118878.62,309069.87,222381.31,1,2,1,Medium,42.35,3,0,0.72,0.28,122646.78,4412.56,0
100055,Pharmacy,Sharqia,3,16,974566.13,509058.18,465507.95,416371.83,93683.66,89803.2,136439.26,71268.15,0,0,2,Low,24.09,0,0,0.522,0.478,60910.38,3880.46,0
100056,Healthcare,Cairo,7,14,548035.08,517729.39,30305.7,26812.99,6032.92,4725.38,76724.91,72482.11,0,0,0,Low,30.39,0,0,0.945,0.055,39145.36,1307.54,1
100057,Healthcare,Sohag,5,9,925991.66,745370.59,180621.08,172385.31,38786.7,38129.31,129638.83,104351.88,1,0,0,Low,23.25,1,0,0.805,0.195,102887.96,657.38,0
100058,Construction,Sharqia,9,12,1906883.88,766933.55,1139950.33,1038800.24,233730.05,231512.51,266963.74,107370.7,0,0,1,High,57.11,1,0,0.402,0.598,158906.99,2217.55,0
100059,Import/Export,Monufia,14,12,3038007.29,2094521.25,943486.04,839753.75,188944.59,177932.64,425321.02,293232.98,2,1,2,High,13.61,2,0,0.689,0.311,253167.27,11011.95,0
100060,Retail,Cairo,6,6,742161.22,623994.47,118166.75,115191.33,25918.05,22772.89,103902.57,87359.23,1,0,1,Medium,44.42,1,0,0.841,0.159,123693.54,3145.16,1
100061,Education,Alex,14,4,1359846.09,531294.91,828551.18,741673.06,166876.44,166059.15,190378.45,74381.29,0,0,4,Low,43.79,1,1,0.391,0.609,339961.52,817.29,0
100062,Pharmacy,Giza,7,2,2007672.25,1239821.18,767851.07,684189.09,153942.54,148879.96,281074.12,173574.97,0,0,0,Low,47.81,1,0,0.618,0.382,1003836.13,5062.59,0
100063,Manufacturing,Sharqia,2,30,568604.65,334656.04,233948.61,208479.16,46907.81,45047.1,79604.65,46851.85,0,0,1,Medium,34.28,1,0,0.589,0.411,18953.49,1860.71,0
100064,Manufacturing,Cairo,10,13,1839970.38,1335325.74,504644.64,438882.75,98748.62,96977.32,257595.85,186945.6,1,0,0,Medium,52.05,0,0,0.726,0.274,141536.18,1771.3,0
100065,Import/Export,Assiut,4,6,2414557.42,1504588.21,909969.21,775059.98,174388.5,161093.85,338038.04,210642.35,3,0,1,High,46.18,0,0,0.623,0.377,402426.24,13294.65,0
100066,IT,Dakahlia,7,8,1225451.72,668945.65,556506.08,516246.62,116155.49,114193.44,171563.24,93652.39,0,0,2,Low,44.57,0,0,0.546,0.454,153181.47,1962.04,0
100067,Construction,Monufia,12,29,1545020.92,1348156.63,196864.29,188421.38,42394.81,41893.71,216302.93,188741.93,1,1,1,High,17.39,1,0,0.873,0.127,53276.58,501.1,0
100068,Restaurant,Cairo,5,9,5387485.12,3680827.51,1706657.61,1634773.64,367824.07,353224.09,754247.92,515315.85,0,0,0,Medium,37.44,0,0,0.683,0.317,598609.46,14599.98,0
100069,Restaurant,Giza,11,3,639779.89,366352.85,273427.05,272920.5,61407.11,60251.26,89569.18,51289.4,0,2,2,Medium,4.54,1,0,0.573,0.427,213259.96,1155.85,0
100070,Pharmacy,Assiut,9,12,980636.39,632870.08,347766.3,308498.15,69412.08,67494.64,137289.09,88601.81,0,0,2,Low,23.46,1,0,0.645,0.355,81719.7,1917.44,0
100071,IT,Sohag,9,3,993831.37,391667.0,602164.37,527173.03,118613.93,118256.37,139136.39,54833.38,0,0,0,Low,34.24,1,0,0.394,0.606,331277.12,357.56,0
100072,Construction,Cairo,9,12,2473632.85,1171276.85,1302356.01,1128866.48,253994.96,252643.46,346308.6,163978.76,0,0,2,High,42.07,0,0,0.474,0.526,206136.07,1351.49,0
100073,Restaurant,Alex,8,13,1095250.99,722162.08,373088.91,344483.06,77508.69,76690.26,153335.14,101102.69,1,0,1,Medium,41.57,1,0,0.659,0.341,84250.08,818.43,0
100074,Import/Export,Alex,7,33,2359772.73,1633826.05,725946.68,620363.59,139581.81,130033.93,330368.18,228735.65,0,0,1,High,29.92,2,0,0.692,0.308,71508.26,9547.87,0
100075,IT,Dakahlia,13,8,1526396.08,1210538.22,315857.87,310102.09,69772.97,69640.06,213695.45,169475.35,0,1,1,Low,45.6,0,0,0.793,0.207,190799.51,132.91,0
100076,Import/Export,Monufia,2,4,3671656.73,2141071.04,1530585.7,1404012.45,315902.8,311300.28,514031.94,299749.95,1,0,1,High,42.78,1,0,0.583,0.417,917914.18,4602.52,0
100077,Retail,Giza,1,3,2460313.41,1758491.92,701821.49,677069.99,152340.75,149264.86,344443.88,246188.87,1,0,0,Medium,76.03,0,0,0.715,0.285,820104.47,3075.89,0
100078,Retail,Cairo,3,5,1363991.53,732169.67,631821.85,594891.91,133850.68,133832.8,190958.81,102503.75,1,0,2,Medium,69.96,0,0,0.537,0.463,272798.31,17.88,0
100079,Construction,Alex,7,13,1406675.81,528976.95,877698.86,829401.46,186615.33,183010.16,196934.61,74056.77,0,0,1,High,44.4,2,0,0.376,0.624,108205.83,3605.17,0
100080,Healthcare,Cairo,4,17,978264.37,734216.7,244047.67,210937.8,47461.0,47154.36,136957.01,102790.34,1,0,0,Low,31.98,0,0,0.751,0.249,57544.96,306.65,0
100081,Pharmacy,Cairo,12,37,814032.65,575265.31,238767.33,220743.99,49667.4,49260.33,113964.57,80537.14,2,0,0,Low,58.65,1,0,0.707,0.293,22000.88,407.07,0
100082,Pharmacy,Sharqia,6,5,730943.15,411519.37,319423.78,274836.55,61838.22,59054.77,102332.04,57612.71,2,0,0,Low,24.14,0,0,0.563,0.437,146188.63,2783.45,0
100083,Retail,Assiut,17,6,1156561.16,794994.8,361566.36,359268.17,80835.34,79815.53,161918.56,111299.27,1,0,0,Medium,63.3,1,0,0.687,0.313,192760.19,1019.81,0
100084,Restaurant,Assiut,6,10,2076210.11,1775616.36,300593.75,278994.19,62773.69,61438.91,290669.41,248586.29,1,1,0,Medium,22.27,0,0,0.855,0.145,207621.01,1334.79,0
100085,Unknown,Unknown,6,3,1716149.93,1009420.36,706729.57,648127.83,145828.76,137206.0,240260.99,141318.85,1,2,1,Low,38.52,3,0,0.588,0.412,572049.98,8622.76,1
100086,Pharmacy,Alex,6,13,641184.43,357562.8,283621.62,282584.0,63581.4,61005.44,89765.82,50058.79,2,1,1,Low,49.85,0,0,0.558,0.442,49321.88,2575.96,1
100087,IT,Sharqia,7,13,1248922.69,761216.79,487705.9,437361.2,98406.27,97565.32,174849.18,106570.35,1,0,0,Low,0.86,0,0,0.609,0.391,96070.98,840.95,0
100088,Manufacturing,Sohag,15,7,901980.51,381385.29,520595.22,466188.48,104892.41,104590.29,126277.27,53393.94,0,2,1,Medium,54.17,0,0,0.423,0.577,128854.36,302.12,0
100089,Healthcare,Cairo,6,20,963516.58,761340.58,202176.01,195179.85,43915.47,43490.82,134892.32,106587.68,1,0,1,Low,40.5,0,0,0.79,0.21,48175.83,424.64,0
100090,Education,Assiut,7,20,1076288.71,440040.15,636248.56,587407.68,132166.73,130840.21,150680.42,61605.62,0,0,1,Low,44.1,3,0,0.409,0.591,53814.44,1326.52,0
100091,Manufacturing,Dakahlia,17,9,2292021.47,1678495.19,613526.27,582176.98,130989.82,129439.8,320883.01,234989.33,0,0,2,Medium,32.81,0,1,0.732,0.268,254669.05,1550.02,0
100092,Unknown,Unknown,5,4,609180.67,341032.7,268147.97,259084.04,58293.91,56667.77,85285.29,47744.58,1,0,0,Low,38.52,0,0,0.56,0.44,152295.17,1626.14,0
100093,Construction,Assiut,14,8,1008946.11,725440.1,283506.01,273922.1,61632.47,57961.63,141252.46,101561.61,1,0,2,High,57.11,0,0,0.719,0.281,126118.26,3670.84,0
100094,Import/Export,Assiut,5,4,356321.67,255754.78,100566.89,99708.19,22434.34,21786.03,49885.03,35805.67,0,0,4,High,8.1,1,0,0.718,0.282,89080.42,648.32,0
100095,Construction,Alex,12,15,581193.32,393477.27,187716.06,187284.4,42138.99,41701.23,81367.07,55086.82,1,0,2,High,41.6,0,0,0.677,0.323,38746.22,437.76,0
100096,Retail,Giza,17,14,1513683.3,1221047.33,292635.97,255766.98,57547.57,56655.81,211915.66,170946.63,1,0,1,Medium,57.15,0,0,0.807,0.193,108120.24,891.76,0
100097,IT,Sharqia,7,10,694238.74,642062.59,52176.15,47229.38,10626.61,10469.92,97193.42,89888.76,0,1,3,Low,57.11,0,0,0.925,0.075,69423.87,156.69,0
100098,Healthcare,Dakahlia,13,7,1365159.13,871768.41,493390.71,466919.72,105056.94,100630.22,191122.28,122047.58,2,0,2,Low,11.71,0,0,0.639,0.361,195022.73,4426.72,0
100099,Retail,Dakahlia,11,17,1279378.31,785691.04,493687.27,430553.5,96874.54,89162.87,179112.96,109996.75,3,0,1,Medium,74.39,1,0,0.614,0.386,75257.55,7711.67,1
100100,IT,Assiut,6,19,4498301.39,2072303.36,2425998.03,2193915.7,493631.03,468986.21,629762.19,290122.47,1,0,2,Low,70.64,0,0,0.461,0.539,236752.7,24644.82,0
100101,Construction,Sohag,2,1,1179663.24,722084.16,457579.08,439013.37,98778.01,98270.39,165152.85,101091.78,1,1,0,High,61.08,0,0,0.612,0.388,1179663.24,507.61,0
100102,Construction,Alex,9,8,667839.4,538037.43,129801.96,119088.23,26794.85,26269.37,93497.52,75325.24,1,0,1,High,21.87,0,0,0.806,0.194,83479.92,525.48,0
100103,Healthcare,Alex,8,13,402809.05,317611.94,85197.1,84958.09,19115.57,18721.77,56393.27,44465.67,2,0,0,Low,46.52,0,0,0.788,0.212,30985.31,393.8,0
100104,Import/Export,Cairo,11,7,2451598.6,1026879.83,1424718.77,1394829.53,313836.64,292097.56,343223.8,143763.18,1,0,0,High,72.98,2,0,0.419,0.581,350228.37,21739.09,1
100105,IT,Monufia,16,5,731218.74,480777.48,250441.26,243168.58,54712.93,54098.44,102370.62,67308.85,1,0,0,Low,50.27,3,0,0.658,0.342,146243.75,614.49,0
100106,Import/Export,Monufia,12,9,1059877.68,438030.72,621846.96,589832.42,132712.29,130906.32,148382.87,61324.3,0,0,2,High,68.43,1,0,0.413,0.587,117764.19,1805.97,0
100107,Pharmacy,Giza,12,17,1903971.66,1028253.23,875718.42,856957.81,192815.51,189041.61,266556.03,143955.45,0,0,2,Low,27.58,0,0,0.54,0.46,111998.33,3773.9,0
100108,Unknown,Unknown,9,10,3231814.78,3006479.63,225335.15,205655.32,46272.45,45457.51,452454.07,420907.15,0,0,1,Low,38.52,2,0,0.93,0.07,323181.48,814.94,0
100109,Construction,Dakahlia,10,11,3024687.31,2347597.99,677089.32,607452.39,136676.79,128311.36,423456.22,328663.72,1,0,0,High,61.81,1,0,0.776,0.224,274971.57,8365.42,1
100110,Retail,Dakahlia,6,6,290462.07,232165.12,58296.96,55246.4,12430.44,12207.02,40664.69,32503.12,0,1,1,Medium,6.65,1,0,0.799,0.201,48410.35,223.42,0
100111,Restaurant,Monufia,6,7,2072511.82,1524807.35,547704.47,522577.2,117579.87,115128.67,290151.65,213473.03,3,0,2,Medium,6.75,2,0,0.736,0.264,296073.12,2451.2,0
100112,Manufacturing,Sharqia,3,10,2598430.91,1502517.55,1095913.36,1092099.64,245722.42,239851.37,363780.33,210352.46,1,1,3,Medium,50.55,2,0,0.578,0.422,259843.09,5871.05,0
100113,Retail,Giza,12,12,765251.68,516100.34,249151.34,215386.39,48461.94,46947.77,107135.24,72254.05,1,0,3,Medium,9.25,1,0,0.674,0.326,63770.97,1514.16,0
100114,Import/Export,Monufia,7,10,867202.35,821468.27,45734.08,44744.13,10067.43,10067.43,121408.33,115005.56,0,0,4,High,24.56,0,1,0.947,0.053,86720.23,0.0,0
100115,Restaurant,Monufia,4,13,3145743.99,2785600.26,360143.73,330074.25,74266.71,72108.34,440404.16,389984.04,1,0,1,Medium,46.53,2,0,0.886,0.114,241980.31,2158.36,0
100116,Import/Export,Assiut,16,9,1057005.37,599440.28,457565.09,421359.8,94805.95,92229.76,147980.75,83921.64,0,0,1,High,73.1,0,0,0.567,0.433,117445.04,2576.2,0
100117,Import/Export,Sharqia,4,13,8134355.45,4279429.85,3854925.6,3815462.95,858479.16,848194.63,1138809.76,599120.18,1,0,1,High,26.46,1,0,0.526,0.474,625719.65,10284.54,0
100118,Pharmacy,Monufia,0,16,1059137.2,824453.14,234684.06,220881.3,49698.29,48534.54,148279.21,115423.44,1,0,0,Low,62.77,0,0,0.778,0.222,66196.07,1163.75,0
100119,Construction,Monufia,12,6,256169.31,146383.29,109786.02,95311.14,21445.01,20574.25,35863.7,20493.66,2,0,0,High,69.86,0,0,0.571,0.429,42694.88,870.76,0
100120,Restaurant,Sohag,11,6,1548895.21,1380796.69,168098.52,144559.11,32525.8,32525.8,216845.33,193311.54,1,0,0,Medium,17.0,0,0,0.891,0.109,258149.2,0.0,0
100121,Unknown,Unknown,11,17,1621781.92,1241467.08,380314.84,347793.99,78253.65,73910.03,227049.47,173805.39,4,0,0,High,38.52,0,0,0.765,0.235,95398.94,4343.62,0
100122,Pharmacy,Dakahlia,0,5,3393647.11,1527535.27,1866111.84,1706707.45,384009.18,366195.6,475110.6,213854.94,0,0,0,Low,25.86,0,1,0.45,0.55,678729.42,17813.58,0
100123,Import/Export,Monufia,2,4,794346.48,748927.0,45419.48,41699.63,9382.42,9356.68,111208.51,104849.78,1,0,0,High,19.43,0,0,0.943,0.057,198586.62,25.74,0
100124,Healthcare,Sharqia,6,8,3682318.06,1927866.07,1754451.99,1728157.1,388835.35,377855.82,515524.53,269901.25,1,1,1,Low,55.93,0,0,0.524,0.476,460289.76,10979.52,0
100125,Retail,Sharqia,2,14,1707585.82,1048909.88,658675.94,589745.5,132692.74,130280.27,239062.02,146847.38,2,0,1,Medium,32.18,0,0,0.614,0.386,121970.42,2412.47,0
100126,Construction,Sharqia,19,19,4736661.96,3421747.02,1314914.94,1157383.95,260411.39,254925.65,663132.67,479044.58,3,0,1,High,31.25,1,0,0.722,0.278,249298.0,5485.74,0
100127,Healthcare,Dakahlia,12,12,1178220.76,754113.67,424107.09,415426.52,93470.97,87560.67,164950.91,105575.91,1,1,3,Low,4.77,2,0,0.64,0.36,98185.06,5910.29,0
100128,Education,Cairo,6,14,153541.77,111464.5,42077.28,41612.63,9362.84,9278.88,21495.85,15605.03,0,0,0,Low,44.11,0,0,0.726,0.274,10967.27,83.97,0
100129,Healthcare,Alex,12,7,2190481.57,785482.96,1404998.61,1349754.67,303694.8,297959.72,306667.42,109967.61,2,1,0,Low,37.65,0,0,0.359,0.641,312925.94,5735.08,0
100130,Import/Export,Cairo,4,8,819207.12,341280.75,477926.37,464178.95,104440.26,103772.58,114689.0,47779.31,2,0,0,High,31.05,0,0,0.417,0.583,102400.89,667.68,0
100131,Retail,Giza,4,16,1050022.03,570054.25,479967.78,442273.77,99511.6,97746.26,147003.08,79807.6,1,0,2,Medium,70.28,0,0,0.543,0.457,65626.38,1765.33,0
100132,Education,Alex,8,16,608357.3,513162.09,95195.22,92395.89,20789.07,20708.2,85170.02,71842.69,1,0,0,Low,25.26,1,1,0.844,0.156,38022.33,80.87,0
100133,Manufacturing,Monufia,13,6,1215620.6,626897.65,588722.95,562846.5,126640.46,124162.26,170186.88,87765.67,1,0,2,Medium,13.68,1,0,0.516,0.484,202603.43,2478.21,0
100134,Healthcare,Sohag,17,23,2299841.54,810965.44,1488876.1,1302830.56,293136.88,282803.24,321977.82,113535.16,0,1,0,Low,38.29,1,0,0.353,0.647,99993.11,10333.64,0
100135,Construction,Giza,5,1,1216907.67,760104.58,456803.09,402595.37,90583.96,88044.1,170367.07,106414.64,2,0,1,High,31.06,1,0,0.625,0.375,1216907.67,2539.86,0
100136,Retail,Assiut,16,12,639578.03,507286.74,132291.3,118710.81,26709.93,26709.93,89540.92,71020.14,0,1,0,Medium,8.03,0,0,0.793,0.207,53298.17,0.0,0
100137,Retail,Cairo,8,8,599562.46,387148.72,212413.74,193433.18,43522.47,42911.08,83938.74,54200.82,1,1,2,Medium,63.11,1,0,0.646,0.354,74945.31,611.39,0
100138,Retail,Alex,8,10,3556594.72,1987629.12,1568965.6,1421107.68,319749.23,315726.75,497923.26,278268.08,1,1,1,Medium,40.71,0,0,0.559,0.441,355659.47,4022.48,0
100139,Restaurant,Dakahlia,4,8,3847865.42,1480299.49,2367565.93,2352575.61,529329.51,504060.79,538701.16,207241.93,0,0,0,Medium,35.62,0,0,0.385,0.615,480983.18,25268.72,0
100140,IT,Alex,10,12,928467.01,679241.23,249225.78,226353.05,50929.44,50300.81,129985.38,95093.77,1,0,1,Low,11.63,0,0,0.732,0.268,77372.25,628.63,0
100141,Restaurant,Alex,7,3,1368626.73,890103.01,478523.72,455527.33,102493.65,102385.4,191607.74,124614.42,0,0,0,Medium,40.28,0,0,0.65,0.35,456208.91,108.25,0
